Name,Postal Code,Kind of build,Year of build
Zandriet linkerhelft (Bouwnr. 44),8242,Nieuwbouw,2022
Gijsbrecht van Amstelstraat 74 P 2,1214,Bestaande bouw,
Parkeergarage De Gedeputeerde,6701,Nieuwbouw,
Ode Apartments - Type R (Bouwnr. 8),1011,Nieuwbouw,2021
F.A. Molijnlaan 1,8071,Bestaande bouw,
Waterlinie,5658,Bestaande bouw,
Borneolaan,1019,Bestaande bouw,
Bouwnummer (Bouwnr. 190),3072,Nieuwbouw,2023
Hoofdstraat 24 d,4564,Nieuwbouw,2021
Nachtwachtlaan 481 PP,1058,Bestaande bouw,
Kleine Houtweg PP,2012,Bestaande bouw,
Stationsplein 36,1851,Bestaande bouw,
Bouwnummer 047 (Bouwnr. 047),4902,Nieuwbouw,2021
Bouwnummer 051 (Bouwnr. 051),4902,Nieuwbouw,2021
Ferdinand Huyckstraat 34,3193,Bestaande bouw,
Fonteinkruidstraat,1032,Bestaande bouw,
De Lairesselaan 41,3062,Bestaande bouw,
Pasweg 22,6371,Bestaande bouw,1963
Olympus 1 B,1186,Bestaande bouw,
Buitenmolenstraat,4101,Bestaande bouw,
Jan Ligthartstraat 239 D,1964,Bestaande bouw,
Hogeweg 70,3814,Bestaande bouw,
Vesting,2141,Bestaande bouw,
Fabiusstraat 22 B,3248,Nieuwbouw,2022
Spicastraat,9742,Bestaande bouw,
Factorij,3071,Bestaande bouw,
Bleyenhoevelaan,1951,Nieuwbouw,2011-2020
Hora Siccamasingel,9721,Bestaande bouw,
Egelantierstraat 54,8924,Beschikbaar,In overleg
Fabiusstraat 22,3248,Nieuwbouw,2022
President Rooseveltlaan (Bouwnr. 226),6224,Nieuwbouw,2021
Hoofdstraat 24,4564,Nieuwbouw,2021
Hoofdstraat 24 a,4564,Nieuwbouw,2021
Zuidwal 7,4501,Bestaande bouw,1978
Kanaaldijk N.O. (Bouwnr. 4),5701,Nieuwbouw,Na 2020
De Stoutheuvel 66,5632,Bestaande bouw,1967
Eygelshovenerweg 11,6374,Bestaande bouw,1969
Molenstraat 99 a,4567,Bestaande bouw,1963
Spieakker 4,4841,Bestaande bouw,2000
Folkloreweg 13 .,1326,Bestaande bouw,1997
De Wiel 11,9142,Bestaande bouw,1860
Groeneweg 1,2718,Bestaande bouw,1970
Regenwulp 14,1399,Bestaande bouw,1991-2000
Rozenland 46,8891,Bestaande bouw,2007
Primulastraat 6,7572,Bestaande bouw,1978
Schuitvlotstraat 3,4503,Bestaande bouw,1880
Bisonstraat 114,1448,Bestaande bouw,2001
Stikkerstraat 18,6164,Bestaande bouw,1971
Molenweg 4 d,9751,Bestaande bouw,1935
Zuiderzee op Zuid 75,8256,Bestaande bouw,2009
Hoofdstraat 24 c,4564,Nieuwbouw,2021
Van Boetzelaerlaan 102,2581,Bestaande bouw,1910
Boksdoornerf 88,5038,Bestaande bouw,1998
Cees Laseurlaan 1185,2597,Bestaande bouw,1971
Grotemarkt 16,3011,Bestaande bouw,2011-2020
Goudenregenstraat 186,2565,Bestaande bouw,1925
Ir E J J Kuindersstraat 9 7,2041,Bestaande bouw,1987
Keizersgracht 18 D,1015,Bestaande bouw,Voor 1906
Burgemeester Wuiteweg 171,9203,Bestaande bouw,1970
Nico Koomanskade 98,3072,Bestaande bouw,2019
Dotterweide 32,2742,Bestaande bouw,1977
Planciusstraat 9 B,1013,Bestaande bouw,Voor 1906
De Zeis 86,7335,Bestaande bouw,1980
Brahmsstraat 41,7204,Bestaande bouw,1969
Seringenhof 61,1741,Bestaande bouw,1976
Spoorplein 3,6411,Bestaande bouw,2018
Westerdok 226,1013,Bestaande bouw,2007
Keizersgracht 257 -B,1016,Bestaande bouw,1760
Badhuisweg 232 C,2597,Bestaande bouw,1910
Leerparkpromenade 250,3312,Bestaande bouw,Voor 1906
Boomgaard 249,2771,Bestaande bouw,2019
Goudsbloemstraat 177 III,1015,Bestaande bouw,1931-1944
Händellaan 37,8031,Bestaande bouw,1964
Nesciolaan 95,9752,Bestaande bouw,1972
Boeierstraat 13 B,3028,Bestaande bouw,1950
Emmasingel 37 D,6001,Bestaande bouw,2021
Merwedekade 225 Bis,3522,Bestaande bouw,1930
Tweede Atjehstraat 6 A + PP,1094,Bestaande bouw,2015
Kepplerstraat 195,2562,Bestaande bouw,1899
Rederserf 56,2586,Bestaande bouw,1977
van Faukenbergestraat 7,2274,Bestaande bouw,1906-1930
Valkenstede 69,7905,Bestaande bouw,1976
Kievitenlaan 23,4351,Bestaande bouw,1978
Meent 134,9331,Bestaande bouw,1970
Wouwstraat 22,9404,Bestaande bouw,2006
Pieter de Hoochstraat 11 app.11C,1071,Nieuwbouw,2019
Nieuwstraat 14 01,4461,Bestaande bouw,2004
Wijnbrugstraat 367,3011,Bestaande bouw,2004
Middenbaan Noord,3191,Nieuwbouw,2022
Waterhof 30,2102,Bestaande bouw,2012
Koopmansstraat 1 F 505,2288,Bestaande bouw,2020
Duinweg 61,2585,Bestaande bouw,2010
Vrieseweg 78,3311,Bestaande bouw,1896
Surinamestraat 49,2585,Bestaande bouw,2019
Mangoweg 169 .,2321,Nieuwbouw,2020
Amsterdamsestraatweg 494,3553,Bestaande bouw,1958
Theo Mann-Bouwmeesterlaan 100 - 102,2597,Bestaande bouw,1975
Prins Bernhardlaan 42,2274,Bestaande bouw,1951
Sint Antoniusstraat 150,4902,Bestaande bouw,2013
Patrijsstraat 35,3353,Bestaande bouw,1961
Meipoortstraat 5,6981,Bestaande bouw,Voor 1906
Nicolaas Maesstraat 80 H,1071,Bestaande bouw,Voor 1906
De Batavier 34,7101,Bestaande bouw,1986
Prins Hendrikstraat 52,2518,Bestaande bouw,1900
Keizersgracht 90 boven,1015,Bestaande bouw,Voor 1906
Havenweg 17,8861,Bestaande bouw,2017
Goudenregenstraat 190,2565,Bestaande bouw,1925
Boerhaavelaan 73,5707,Bestaande bouw,1962
Klaprooslaan 105,3053,Bestaande bouw,1962
Aert de Gelderlaan 322,1816,Bestaande bouw,1968
Willem van Rijswijckstr 18,2282,Bestaande bouw,1957
Schietbaanlaan 122 B2,3021,Bestaande bouw,1908
Spinhuispad 63,3111,Bestaande bouw,1999
Spuistraat 3 F 20,1012,Bestaande bouw,1680
Joost Ivanghlaan 2 H,1862,Nieuwbouw,2020
Muraltplein 31 A,7271,Bestaande bouw,1931
Blokweg 66,3074,Bestaande bouw,2005
Peter Schatstraat 85,1082,Bestaande bouw,2017
Loderlaan 34,3527,Bestaande bouw,1960-1970
Langegracht 71,2312,Bestaande bouw,1975
Benedenbaantje 62,4615,Bestaande bouw,1978
Van Lumeystraat 67,2581,Bestaande bouw,1917
Hinthamereinde 49 B,5211,Bestaande bouw,1621
Zuylenburg 8,3834,Bestaande bouw,1982
Leeuwerik 49,2451,Bestaande bouw,2011
Blaasjeskruidstraat 11,6841,Bestaande bouw,2010
Oude Baan 2 P,5242,Bestaande bouw,2007
Frankensteeg 4,7201,Bestaande bouw,1900
Utrechtseweg 31 A,3811,Bestaande bouw,2021
Utrechtseweg 27 P,3811,Bestaande bouw,2021
Lindenstraat 80 B,1015,Bestaande bouw,Voor 1906
Pasweg 4 c,6371,Bestaande bouw,1963
Hogenbanweg 92 A,3028,Bestaande bouw,1950
Diemerparklaan 112,1087,Bestaande bouw,2017
Zandheuvel (Bouwnr. 12),7064,Nieuwbouw,Na 2020
Zandheuvel (Bouwnr. 9),7064,Nieuwbouw,Na 2020
Draaiom 4,6545,Bestaande bouw,2009
Veldmaarschalk Montgomerylaan 446,5623,Bestaande bouw,1960-1970
Korvetstraat 1,5237,Bestaande bouw,1996
Zuiderpoort 34,6101,Bestaande bouw,2004
Gasthuisstraat 24 03,7101,Bestaande bouw,2004
Berckheydestraat 16 rd,2021,Bestaande bouw,Voor 1906
Solitudolaan 262,1096,Bestaande bouw,2019
Zwaluwlaan 3,2211,Bestaande bouw,1980
Vaart ZZ 58 H,7833,Nieuwbouw,2021
Vaart ZZ 58 j,7833,Nieuwbouw,2021
Van Oldenbarneveldtstraat 96 A3,1052,Bestaande bouw,1893
Vaart ZZ 58 G1,7833,Nieuwbouw,2021
Stationsweg 1 07,1251,Nieuwbouw,2021
Stationsweg 1 04,1251,Nieuwbouw,2021
Stationsweg 1 08,1251,Nieuwbouw,2021
Stationsweg 1 09,1251,Nieuwbouw,2021
Paul Krugerstraat 103,3072,Bestaande bouw,2006
Chromerij 31,5583,Bestaande bouw,2012
Amalialaan 40,3743,Bestaande bouw,1972
Zuideinde 30 A,1121,Bestaande bouw,2004
